header timestamp,object.id,class_label_pred,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,velocity.linear.x,velocity.angular.z,yaw,dimension_x,dimension_y,dimension_z
1572937878.22800,12243,Unknown Small,161.566742,-0.028214,2.642431,0.950405,0,0,0.311015,-0.074419,0.000148,0.632521,0.455426,1.38533,2.123423
1572937878.22800,7476,Van,114.026978,-1.416534,1.749462,0.999997,0,0,0.002522,18.2384,0,0.005045,0.923262,1.602719,1.651396
1572937878.22800,12246,Unknown Small,93.341187,-14.708062,0.66362,0.945255,0,0,0.326332,-0.021732,0.000531,0.664841,0.458286,0.369221,0.707135
1572937878.22800,12248,Unknown Small,83.785217,-19.180231,0.410265,0.852268,0,0,0.523106,-0.085731,0.00085,1.100983,0.400112,0.260976,0.67017
1572937878.22800,12250,Unknown Small,97.363861,-12.445912,0.737742,0.961459,0,0,0.274949,-0.006355,0.000038,0.557074,0.120598,0.154593,0.707469
1572937878.22800,12251,Truck,64.528259,3.309349,2.757909,0.999943,0,0,0.010701,16.221109,-0.002598,0.021402,1.857751,1.298951,1.376292
1572937878.22800,12252,Unknown Small,173.996643,-12.682646,2.933901,0.948894,0,0,0.315595,-0.170608,0.000054,0.642166,0.145632,0.444191,1.721711
1572937878.22800,7475,Car,136.948853,10.017502,2.359736,0.999986,0,0,0.005325,21.943832,0,0.010649,0.439657,1.461869,1.055488
1572937878.22800,4125,Null,5.773163,1.935555,0.5,0.99558,0,0,0.093915,4.175574,0,0.188108,4.101932,0.925804,1
1572937878.22800,4124,Null,23.935669,5.513472,0.175788,0.999997,0,0,-0.002421,11.369222,0,-0.004843,3.790635,3.877831,1.648425
1572937878.22800,155,Null,8.490295,5.397893,0.121368,0.999948,0,0,-0.010164,10.018517,0,-0.020329,3.991794,2.165414,1.757265
1572937878.22800,4104,Null,-6.638292,-0.174124,0.5,0.999943,0,0,-0.010666,4.033401,0,-0.021333,1.847082,2.190949,1
1572937878.22800,162,Null,-4.033234,-4.22261,0.5,0.999967,0,0,0.008072,-0.263941,0,0.016144,3.7825,1.205861,1
1572937878.32788,4101,Truck,219.213867,12.065872,3.34097,0.999702,0,0,-0.024396,17.810955,0,-0.048798,7.293758,2.687902,3.039766
1572937878.32788,12236,Unknown Small,131.625305,-5.989411,1.79531,0.492562,0,0,0.870278,-0.45849,0.028986,2.111531,0.761008,1.298514,2.259654
1572937878.32788,12243,Unknown Small,161.227234,-0.724254,2.726343,0.960105,0,0,0.279641,0.021885,0.000093,0.566841,0.455426,1.38533,2.123423
1572937878.32788,7476,Van,115.373169,-1.205872,1.834089,0.999998,0,0,0.00215,18.423473,0,0.0043,0.923262,1.602719,1.651396
1572937878.32788,12246,Unknown Small,92.754517,-14.714081,0.699217,0.945413,0,0,0.325873,0.051422,0.000839,0.663871,0.458286,0.369221,0.707135
1572937878.32788,12248,Unknown Small,83.235962,-19.189804,0.558477,0.83891,0,0,0.544271,-0.085133,0.00122,1.151039,0.400112,0.260976,0.67017
1572937878.32788,12251,Truck,65.534851,3.385902,2.852957,0.999975,0,0,0.007094,17.981108,-0.001939,0.014188,1.857751,1.298951,1.376292
1572937878.32788,12252,Unknown Small,173.515533,-12.705099,3.159091,0.947855,0,0,0.318703,-0.135743,0.000309,0.648721,0.145632,0.444191,1.721711
1572937878.32788,7475,Car,138.556885,10.179001,2.652398,0.999994,0,0,0.003498,21.988482,0,0.006995,0.439657,1.461869,1.055488
1572937878.32788,4124,Unknown Big,24.56134,5.503285,0.830618,0.999998,0,0,-0.001976,11.511247,0,-0.003952,3.790635,3.877831,1.648425
1572937878.32788,4125,Null,5.611664,2.004738,0.5,0.99556,0,0,0.094128,4.306787,0,0.188534,4.101932,0.925804,1
1572937878.32788,4104,Null,-6.661186,-0.170393,0.5,0.999906,0,0,-0.013684,3.587709,0,-0.027368,1.847082,2.190949,1
1572937878.32788,155,Null,9.00885,5.38499,0.121368,0.999949,0,0,-0.01015,10.203173,0,-0.020301,3.991794,2.165414,1.757265
1572937878.32788,162,Null,-4.373505,-4.312691,0.5,0.999653,0,0,0.026336,-0.280914,0,0.052677,3.7825,1.205861,1
1572937878.42755,4101,Truck,220.503662,11.325859,2.893476,0.999663,0,0,-0.025972,17.008572,0.051737,-0.051951,7.293758,2.687902,3.039766
1572937878.42755,12236,Unknown Small,131.050354,-5.994059,1.580068,0.490066,0,0,0.871685,-0.356629,0.024504,2.117261,0.761008,1.298514,2.259654
1572937878.42755,12243,Unknown Small,160.590637,-0.727842,2.774999,0.95561,0,0,0.294636,-0.01751,0.00006,0.598148,0.455426,1.38533,2.123423
1572937878.42755,7476,Van,116.719482,-0.995193,1.678181,0.999998,0,0,0.001993,18.551336,0,0.003985,0.923262,1.602719,1.651396
1572937878.42755,12248,Unknown Small,82.686646,-19.199375,0.362083,0.825026,0,0,0.565094,-0.130061,0.001622,1.201096,0.400112,0.260976,0.67017
1572937878.42755,12251,Truck,66.541321,3.462463,2.856084,0.999966,0,0,0.008285,16.311993,-0.001514,0.016569,1.857751,1.298951,1.376292
