header timestamp,position x,position y,oritentation yaw,velocity
1638350258.3402405,75.5183,3.07325,0.0272155,6.48455
1638350258.440281,76.1647,3.09064,0.0266137,6.41852
1638350258.5403316,76.8026,3.10738,0.0257004,6.43027
1638350258.6403823,77.4425,3.12368,0.025324,6.36223
1638350258.7404232,78.0752,3.13951,0.0245767,6.33177
1638350258.8404682,78.7048,3.15486,0.0239548,6.21068
1638350258.940536,79.3226,3.16954,0.0233382,6.17673
1638350259.040594,79.9416,3.18402,0.0231689,6.09751
1638350259.1406476,80.5475,3.19789,0.0226027,6.0744
1638350259.240664,81.1516,3.21126,0.0216266,6.05465
1638350259.3406787,81.7502,3.22417,0.0215121,6.14929
1638350259.4406743,82.3635,3.23737,0.0215266,6.05089
1638350259.5406563,82.9676,3.25005,0.020397,6.0625
1638350259.6406257,83.5741,3.26193,0.0187611,6.03975
1638350259.7406201,84.1787,3.27296,0.01764,6.09048
1638350259.8406255,84.7877,3.28331,0.0162924,6.06073
1638350259.9406254,85.393,3.2925,0.0140696,6.10148
1638350260.0406303,86.0026,3.30005,0.0106785,6.0657
1638350260.1406288,86.6083,3.30514,0.00611904,6.0636
1638350260.240641,87.2136,3.30722,0.000744714,5.98293
1638350260.3406496,87.8108,3.30554,-0.00637985,5.99423
1638350260.440643,88.4095,3.2992,-0.0148204,5.99209
1638350260.5406415,89.0084,3.28774,-0.0234321,5.97874
1638350260.6406345,89.6052,3.27091,-0.0329634,5.88611
1638350260.7406328,90.1918,3.24835,-0.0439131,5.91565
1638350260.8406365,90.7795,3.21903,-0.0558357,5.84828
1638350260.9406424,91.3593,3.18284,-0.0688662,5.79587
1638350261.0406587,91.9334,3.13916,-0.0830229,5.7391
1638350261.1406827,92.5014,3.08726,-0.0992673,5.68683
1638350261.2407067,93.063,3.02594,-0.118295,5.6947
1638350261.340729,93.6239,2.95339,-0.139001,5.69695
1638350261.4407327,94.1842,2.86909,-0.1597,5.71164
1638350261.5407307,94.7449,2.77249,-0.181552,5.74778
1638350261.6407044,95.3082,2.66211,-0.205458,5.78251
1638350261.7406392,95.8721,2.53727,-0.230293,5.74007
1638350261.8405828,96.4285,2.39986,-0.253969,5.75128
1638350261.940536,96.9829,2.24905,-0.277264,5.75135
1638350262.0404713,97.5332,2.08522,-0.301452,5.79888
1638350262.140384,98.084,1.90651,-0.326027,5.86969
1638350262.2402775,98.6372,1.71226,-0.349349,5.87615
1638350262.340196,99.1868,1.50486,-0.372238,5.93826
1638350262.4401445,99.7378,1.28225,-0.395655,5.97144
1638350262.5400767,100.286,1.04542,-0.419663,5.99755
1638350262.6400208,100.831,0.794383,-0.443639,5.99973
1638350262.7399504,101.37,0.530379,-0.4673,6.10444
1638350262.8399005,101.912,0.248661,-0.491726,6.13562
1638350262.93986,102.449,-0.0478825,-0.517621,6.06247
1638350263.0397968,102.972,-0.354631,-0.543367,6.1205
1638350263.139758,103.492,-0.677477,-0.567449,6.22566
1638350263.239723,104.013,-1.01858,-0.592403,6.29877
1638350263.3396845,104.531,-1.37741,-0.618443,6.36116
1638350263.4396825,105.046,-1.75365,-0.644366,6.41439
1638350263.5397122,105.555,-2.14656,-0.669617,6.41733
1638350263.6397648,106.054,-2.55214,-0.694943,6.45432
1638350263.739806,106.545,-2.97278,-0.722409,6.4961
1638350263.8398721,107.027,-3.4098,-0.750217,6.58391
1638350263.939967,107.504,-3.86637,-0.77798,6.60774
1638350264.0400603,107.968,-4.3386,-0.808738,6.6579
1638350264.1401453,108.422,-4.82949,-0.840848,6.74264
1638350264.2401788,108.865,-5.34091,-0.872331,6.81623
1638350264.340195,109.297,-5.87166,-0.902572,6.91632
1638350264.4401743,109.719,-6.42269,-0.933073,6.99237
1638350264.5401292,110.128,-6.9923,-0.963493,7.06766
1638350264.6401,110.523,-7.58019,-0.993784,7.10145
1638350264.7400856,110.903,-8.18311,-1.02416,7.1922
1638350264.8400688,111.268,-8.8047,-1.05501,7.25259
1638350264.940067,111.617,-9.44233,-1.08551,7.29221
1638350265.0400555,111.947,-10.0937,-1.11628,7.40831
1638350265.1400416,112.263,-10.7655,-1.14689,7.49271
1638350265.2400024,112.561,-11.4543,-1.17746,7.52028
1638350265.339944,112.84,-12.1547,-1.20703,7.54988
1638350265.4398887,113.099,-12.8662,-1.23502,7.60103
1638350265.5398376,113.341,-13.5897,-1.26217,7.7389
1638350265.6397853,113.567,-14.3322,-1.28919,7.81243
1638350265.7397509,113.774,-15.0879,-1.31541,7.85506
1638350265.8397071,113.964,-15.8529,-1.34085,7.9218
