frame seq,bag timestamp,header timestamp,position x,position y,oritentation yaw,oritentation pitch,orientation roll,velocity,ego_lane
117,1638350246.641415936,1638350246.641415936,30.4037,1.45464,0.0440733,0,0,3.48054,0
118,1638350246.741403392,1638350246.741403392,30.7515,1.46998,0.0441207,0,0,3.45806,0
119,1638350246.841398016,1638350246.841398016,31.097,1.48529,0.0445105,0,0,3.49208,0
120,1638350246.941386752,1638350246.941386752,31.4458,1.50077,0.0440528,0,0,3.46935,0
121,1638350247.041391616,1638350247.041391616,31.7924,1.51609,0.0438537,0,0,3.46549,0
122,1638350247.141389568,1638350247.141389568,32.1386,1.53134,0.0440178,0,0,3.47363,0
123,1638350247.241391104,1638350247.241391104,32.4856,1.54658,0.0435557,0,0,3.45912,0
124,1638350247.341384704,1638350247.341384704,32.8303,1.56158,0.0433686,0,0,3.53797,0
125,1638350247.441344768,1638350247.441344768,33.184,1.57684,0.0428457,0,0,3.56744,0
126,1638350247.541311488,1638350247.541311488,33.5421,1.5923,0.0432842,0,0,3.67559,0
127,1638350247.641281280,1638350247.641281280,33.9133,1.60861,0.0435292,0,0,3.72443,0
128,1638350247.741238016,1638350247.741238016,34.2895,1.62491,0.0428533,0,0,3.78926,0
129,1638350247.841207040,1638350247.841207040,34.6768,1.64107,0.0431056,0,0,3.86776,0
130,1638350247.941180416,1638350247.941180416,35.0663,1.65787,0.0430803,0,0,3.84587,0
131,1638350248.041159168,1638350248.041159168,35.4524,1.67434,0.0422258,0,0,3.92022,0
132,1638350248.141146368,1638350248.141146368,35.8462,1.69085,0.0416333,0,0,3.961,0
133,1638350248.241138432,1638350248.241138432,36.2412,1.70736,0.041385,0,0,4.03882,0
134,1638350248.341127168,1638350248.341127168,36.6474,1.72392,0.0401372,0,0,4.13496,0
135,1638350248.441147136,1638350248.441147136,37.0638,1.74039,0.0388866,0,0,4.17895,0
136,1638350248.541183488,1638350248.541183488,37.4849,1.75656,0.037801,0,0,4.28768,0
137,1638350248.641213184,1638350248.641213184,37.9171,1.7727,0.0369379,0,0,4.34229,0
138,1638350248.741272832,1638350248.741272832,38.3551,1.78868,0.0359567,0,0,4.40608,0
139,1638350248.841339136,1638350248.841339136,38.7988,1.80427,0.0342596,0,0,4.41689,0
140,1638350248.941379840,1638350248.941379840,39.2423,1.81902,0.0322484,0,0,4.36456,0
141,1638350249.041422848,1638350249.041422848,39.679,1.83267,0.0302278,0,0,4.23841,0
142,1638350249.141460480,1638350249.141460480,40.1028,1.84507,0.0281906,0,0,4.27744,0
143,1638350249.241481216,1638350249.241481216,40.5287,1.85669,0.0263844,0,0,4.11873,0
144,1638350249.341517568,1638350249.341517568,40.9359,1.86721,0.0251366,0,0,4.06197,0
145,1638350249.441521152,1638350249.441521152,41.3345,1.87693,0.0236278,0,0,3.78613,0
146,1638350249.541487360,1638350249.541487360,41.7036,1.88529,0.0216207,0,0,3.60739,0
147,1638350249.641450240,1638350249.641450240,42.0545,1.89264,0.0201761,0,0,3.44014,0
148,1638350249.741412608,1638350249.741412608,42.388,1.89917,0.0188446,0,0,3.24665,0
149,1638350249.841360384,1638350249.841360384,42.7027,1.90484,0.0172206,0,0,3.10912,0
150,1638350249.941314304,1638350249.941314304,43.0023,1.90992,0.0168509,0,0,2.93981,0
151,1638350250.041285376,1638350250.041285376,43.2868,1.91485,0.0165583,0,0,2.79099,0
152,1638350250.141282304,1638350250.141282304,43.5576,1.91928,0.0158262,0,0,2.61234,0
153,1638350250.241251328,1638350250.241251328,43.8114,1.92303,0.013761,0,0,2.48162,0
154,1638350250.341207296,1638350250.341207296,44.052,1.92624,0.0128001,0,0,2.31653,0
155,1638350250.441172992,1638350250.441172992,44.276,1.92911,0.0127261,0,0,2.16868,0
156,1638350250.541141760,1638350250.541141760,44.4838,1.93166,0.0117329,0,0,1.99519,0
157,1638350250.641123328,1638350250.641123328,44.6744,1.93377,0.0103028,0,0,1.80199,0
158,1638350250.741111552,1638350250.741111552,44.8468,1.93546,0.00960564,0,0,1.62817,0
159,1638350250.841100032,1638350250.841100032,45.0018,1.93689,0.00910932,0,0,1.46205,0
160,1638350250.941091072,1638350250.941091072,45.1414,1.93847,0.00891644,0,0,1.29663,0
